ID,Image,ImagePath,Lat,Lon
0,IMG_20200429_141240.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_141240.jpg,22.37662,113.96665
1,IMG_20200429_141427.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_141427.jpg,22.37662,113.96657
2,IMG_20200429_141658.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_141658.jpg,22.37551,113.96666
3,IMG_20200429_141705.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_141705.jpg,22.37551,113.96666
4,IMG_20200429_141810.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_141810.jpg,22.37557,113.96659
5,IMG_20200429_141938.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_141938.jpg,22.37535,113.96624
6,IMG_20200429_142002.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_142002.jpg,22.37568,113.96629
7,IMG_20200429_142528.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_142528.jpg,22.37498,113.96647
8,IMG_20200429_142756.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_142756.jpg,22.37603,113.96569
9,IMG_20200429_142805.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_142805.jpg,22.37603,113.96569
10,IMG_20200429_142859.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_142859.jpg,22.37656,113.96635
11,IMG_20200429_143000.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_143000.jpg,22.37563,113.96567
12,IMG_20200429_143249.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_143249.jpg,22.37588,113.96527
13,IMG_20200429_143508.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_143508.jpg,22.37597,113.96541
14,IMG_20200429_143543.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_143543.jpg,22.37595,113.96518
15,IMG_20200429_143759.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_143759.jpg,22.37626,113.96505
16,IMG_20200429_143808.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_143808.jpg,22.37626,113.96505
17,IMG_20200429_144139.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_144139.jpg,22.37602,113.96452
18,IMG_20200429_144351.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_144351.jpg,22.37704,113.96495
19,IMG_20200429_144553.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_144553.jpg,22.37654,113.96541
20,IMG_20200429_144558.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_144558.jpg,22.37654,113.96541
21,IMG_20200429_144659.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_144659.jpg,22.37669,113.96571
22,IMG_20200429_144955.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_144955.jpg,22.3766,113.96619
23,IMG_20200429_145038.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145038.jpg,22.37674,113.96624
24,IMG_20200429_145157.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145157.jpg,22.37709,113.96581
25,IMG_20200429_145209.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145209.jpg,22.37685,113.9661
26,IMG_20200429_145318.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145318.jpg,22.37714,113.96587
27,IMG_20200429_145321.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145321.jpg,22.37714,113.96587
28,IMG_20200429_145515.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145515.jpg,22.37772,113.96606
29,IMG_20200429_145702.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145702.jpg,22.37787,113.96621
30,IMG_20200429_145717.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145717.jpg,22.37787,113.96621
31,IMG_20200429_145726.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145726.jpg,22.37784,113.96609
32,IMG_20200429_145924.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_145924.jpg,22.37767,113.9656
33,IMG_20200429_150155.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_150155.jpg,22.37768,113.96544
34,IMG_20200429_150309.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_150309.jpg,22.37736,113.96512
35,IMG_20200429_150519.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_150519.jpg,22.37705,113.9643
36,IMG_20200429_150611.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_150611.jpg,22.37702,113.96426
37,IMG_20200429_150748.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_150748.jpg,22.37721,113.9639
38,IMG_20200429_151000.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151000.jpg,22.37775,113.964
39,IMG_20200429_151016.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151016.jpg,22.37775,113.964
40,IMG_20200429_151119.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151119.jpg,22.37831,113.96342
41,IMG_20200429_151307.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151307.jpg,22.37797,113.96372
42,IMG_20200429_151520.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151520.jpg,22.37841,113.96362
43,IMG_20200429_151548.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151548.jpg,22.37841,113.96362
44,IMG_20200429_151658.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151658.jpg,22.37867,113.96339
45,IMG_20200429_151740.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151740.jpg,22.37848,113.96335
46,IMG_20200429_151910.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_151910.jpg,22.37839,113.96336
47,IMG_20200429_152000.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_152000.jpg,22.37841,113.96301
48,IMG_20200429_152039.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_152039.jpg,22.37836,113.96287
49,IMG_20200429_152117.jpg,D:\HK B\SiteVisitPlanPreparation\Photos\PhotoStorage/IMG_20200429_152117.jpg,22.37867,113.96244
